,电影名,评分,上映日期,导演,主演,片长,网址
133,"怪兽电力公司 Monsters, Inc.",8.7,2001-11-02(美国),彼特·道格特,约翰·古德曼,92 分钟,https://movie.douban.com/subject/1291579/
134,完美的世界 A Perfect World,9.1,1993-11-24(美国),克林特·伊斯特伍德,凯文·科斯特纳,138分钟,https://movie.douban.com/subject/1300992/
135,玩具总动员3 Toy Story 3,8.8,2010-06-16(中国大陆),李·昂克里奇,汤姆·汉克斯,103分钟,https://movie.douban.com/subject/1858711/
136,风之谷 風の谷のナウシカ,8.9,1992-05(中国大陆),宫崎骏,岛本须美,117分钟,https://movie.douban.com/subject/1291585/
137,血战钢锯岭 Hacksaw Ridge,8.7,2016-12-08(中国大陆),梅尔·吉布森,安德鲁·加菲尔德,139分钟(中国大陆),https://movie.douban.com/subject/26325320/
138,上帝之城 Cidade de Deus,8.9,2002-05-18(戛纳电影节),费尔南多·梅里尔斯,亚历桑德雷·罗德里格斯,130分钟,https://movie.douban.com/subject/1292208/
139,傲慢与偏见 Pride & Prejudice,8.6,2005-09-16(英国),乔·赖特,凯拉·奈特莉,129 分钟,https://movie.douban.com/subject/1418200/
140,时空恋旅人 About Time,8.7,2013-09-04(英国),理查德·柯蒂斯,多姆纳尔·格里森,123分钟,https://movie.douban.com/subject/10577869/
141,电锯惊魂 Saw,8.7,2004-01-19(圣丹斯电影节),温子仁,雷·沃纳尔,103分钟,https://movie.douban.com/subject/1417598/
142,功夫,8.5,2004-12-23(中国大陆/中国香港),周星驰,周星驰,100分钟(3D重映),https://movie.douban.com/subject/1291543/
143,教父3 The Godfather: Part III,8.9,1990-12-25(美国),弗朗西斯·福特·科波拉,阿尔·帕西诺,170分钟,https://movie.douban.com/subject/1294240/
144,喜宴 囍宴,8.9,1993-02(柏林电影节),李安,赵文瑄,108分钟,https://movie.douban.com/subject/1303037/
145,谍影重重3 The Bourne Ultimatum,8.8,2007-11-15(中国大陆),保罗·格林格拉斯,马特·达蒙,115分钟,https://movie.douban.com/subject/1578507/
146,英雄本色,8.7,1986-08-02(中国香港),吴宇森,周润发,95分钟,https://movie.douban.com/subject/1297574/
147,岁月神偷 歲月神偷,8.7,2010-03-11(中国香港),罗启锐,吴君如,117分钟,https://movie.douban.com/subject/3792799/
148,被解救的姜戈 Django Unchained,8.7,2013-05-12(中国大陆),昆汀·塔伦蒂诺,杰米·福克斯,163分钟(中国大陆),https://movie.douban.com/subject/6307447/
149,七武士 七人の侍,9.2,1954-04-26(日本),黑泽明,三船敏郎,207分钟,https://movie.douban.com/subject/1295399/
150,天书奇谭,9.2,1983(中国大陆),王树忱,丁建华,89分钟,https://movie.douban.com/subject/1428581/
151,哪吒闹海,9.1,1979-05-19(中国大陆),严定宪,梁正晖,65分钟,https://movie.douban.com/subject/1307315/
152,疯狂原始人 The Croods,8.7,2013-04-20(中国大陆),柯克·德·米科,尼古拉斯·凯奇,98分钟,https://movie.douban.com/subject/1907966/
153,人生果实 人生フルーツ,9.5,2017-01-02(日本),伏原健之,津端修一,91分钟,https://movie.douban.com/subject/26874505/
154,我是山姆 I Am Sam,8.9,2001-12-03(美国),杰茜·尼尔森,西恩·潘,132 分钟,https://movie.douban.com/subject/1306861/
155,心迷宫,8.7,2015-10-16(中国大陆),忻钰坤,霍卫民,110分钟(中国大陆),https://movie.douban.com/subject/25917973/
156,纵横四海 緃横四海,8.8,1991-02-02(中国香港),吴宇森,周润发,108分钟,https://movie.douban.com/subject/1295409/
157,"三块广告牌 Three Billboards Outside Ebbing, Missouri",8.7,2018-03-02(中国大陆),马丁·麦克唐纳,弗兰西斯·麦克多蒙德,115分钟,https://movie.douban.com/subject/26611804/
158,萤火虫之墓 火垂るの墓,8.7,1988-04-16(日本),高畑勋,辰己努,89 分钟,https://movie.douban.com/subject/1293318/
159,真爱至上 Love Actually,8.6,2003-09-07(多伦多电影节),理查德·柯蒂斯,休·格兰特,135 分钟,https://movie.douban.com/subject/1292401/
160,头号玩家 Ready Player One,8.7,2018-03-30(中国大陆),史蒂文·斯皮尔伯格,泰伊·谢里丹,140分钟,https://movie.douban.com/subject/4920389/
161,达拉斯买家俱乐部 Dallas Buyers Club,8.8,2013-09-07(多伦多电影节),让-马克·瓦雷,马修·麦康纳,117分钟,https://movie.douban.com/subject/1793929/
162,荒蛮故事 Relatos salvajes,8.8,2014-05-17(戛纳电影节),达米安·斯兹弗隆,达里奥·格兰迪内蒂,122分钟,https://movie.douban.com/subject/24750126/
163,东邪西毒 東邪西毒,8.6,1994-09-17(中国大陆),王家卫,张国荣,100分钟,https://movie.douban.com/subject/1292328/
